[1000, 1001]	[4147, 607]
[1004, 1005]	[4303, 609]
[1008, 1009]	[4336, 581]
[1022, 1023]	[3862, 531]
[1010, 1011]	[4239, 590]
[1014, 1015]	[4195, 567]
[1018, 1019]	[3754, 540]
[1002, 1003]	[4046, 590]
[1006, 1007]	[4190, 583]
[1020, 1021]	[3619, 513]
[1012, 1013]	[3699, 549]
[1016, 1017]	[4273, 596]
[512, 513]	[3872, 415]
[514, 515]	[3873, 489]
[516, 517]	[3631, 475]
[518, 519]	[3766, 500]
[520, 521]	[3680, 490]
[522, 523]	[3705, 502]
[524, 525]	[3697, 532]
[526, 527]	[3775, 538]
[528, 529]	[3588, 505]
[530, 531]	[3665, 485]
[532, 533]	[3701, 517]
[534, 535]	[3734, 506]
[536, 537]	[3809, 503]
[538, 539]	[3799, 561]
[540, 541]	[3819, 556]
[542, 543]	[3709, 554]
[544, 545]	[3675, 475]
[546, 547]	[3610, 491]
[548, 549]	[3645, 520]
[550, 551]	[3619, 501]
[552, 553]	[3591, 479]
[554, 555]	[3620, 486]
[556, 557]	[3644, 503]
[558, 559]	[3602, 517]
[560, 561]	[3595, 518]
[562, 563]	[3634, 493]
[564, 565]	[3534, 539]
[566, 567]	[3745, 547]
[568, 569]	[3576, 516]
[570, 571]	[3710, 516]
[572, 573]	[3579, 533]
[574, 575]	[3734, 524]
[576, 577]	[3572, 527]
[578, 579]	[3743, 460]
[580, 581]	[3582, 530]
[582, 583]	[3765, 507]
[584, 585]	[3752, 513]
[586, 587]	[3820, 555]
[588, 589]	[3807, 545]
[590, 591]	[3746, 517]
[592, 593]	[3693, 485]
[594, 595]	[3749, 550]
[596, 597]	[3778, 504]
[598, 599]	[3895, 572]
[600, 601]	[3763, 540]
[602, 603]	[3727, 482]
[604, 605]	[3810, 535]
[606, 607]	[3828, 532]
[608, 609]	[3653, 564]
[610, 611]	[3657, 554]
[612, 613]	[3596, 547]
[614, 615]	[3632, 540]
[616, 617]	[3522, 544]
[618, 619]	[3605, 534]
[620, 621]	[3608, 530]
[622, 623]	[3764, 543]
[624, 625]	[3636, 531]
[626, 627]	[3672, 535]
[628, 629]	[3584, 524]
[630, 631]	[3702, 548]
[632, 633]	[3628, 515]
[634, 635]	[3608, 515]
[636, 637]	[3588, 530]
[638, 639]	[3668, 518]
[640, 641]	[3977, 529]
[642, 643]	[3866, 479]
[644, 645]	[3488, 498]
[646, 647]	[3701, 493]
[648, 649]	[4508, 571]
[650, 651]	[4528, 571]
[652, 653]	[3945, 568]
[654, 655]	[4450, 638]
[656, 657]	[3560, 515]
[658, 659]	[3751, 487]
[660, 661]	[3656, 510]
[662, 663]	[3678, 522]
[664, 665]	[3685, 495]
[666, 667]	[3747, 559]
[668, 669]	[3687, 520]
[670, 671]	[3775, 501]
[672, 673]	[3543, 537]
[674, 675]	[3570, 548]
[676, 677]	[3569, 548]
[678, 679]	[3675, 571]
[680, 681]	[3646, 550]
[682, 683]	[3666, 545]
[684, 685]	[3575, 539]
[686, 687]	[3694, 551]
[688, 689]	[3768, 633]
[690, 691]	[3749, 550]
[692, 693]	[3877, 586]
[694, 695]	[3664, 543]
[696, 697]	[3558, 552]
[698, 699]	[3714, 532]
[700, 701]	[3855, 525]
[702, 703]	[3871, 548]
[704, 705]	[3556, 532]
[706, 707]	[3646, 533]
[708, 709]	[3507, 526]
[710, 711]	[3811, 534]
[712, 713]	[3585, 536]
[714, 715]	[3598, 531]
[716, 717]	[3757, 533]
[718, 719]	[3773, 561]
[720, 721]	[3521, 514]
[722, 723]	[3633, 526]
[724, 725]	[3561, 512]
[726, 727]	[3614, 517]
[728, 729]	[3669, 529]
[730, 731]	[3752, 547]
[732, 733]	[3524, 123]
[734, 735]	[3652, 539]
[736, 737]	[3513, 529]
[738, 739]	[3623, 532]
[740, 741]	[3696, 549]
[742, 743]	[3768, 539]
[744, 745]	[3678, 546]
[746, 747]	[3787, 556]
[748, 749]	[3571, 519]
[750, 751]	[4152, 580]
[752, 753]	[3664, 555]
[754, 755]	[3691, 515]
[756, 757]	[3669, 556]
[758, 759]	[3705, 535]
[760, 761]	[3556, 525]
[762, 763]	[4267, 558]
[764, 765]	[3657, 525]
[766, 767]	[4071, 563]
[768, 769]	[3668, 496]
[770, 771]	[3879, 540]
[772, 773]	[3704, 492]
[774, 775]	[3821, 555]
[776, 777]	[3813, 555]
[778, 779]	[3722, 536]
[780, 781]	[3803, 546]
[782, 783]	[3808, 560]
[784, 785]	[3619, 479]
[786, 787]	[3772, 533]
[788, 789]	[3765, 529]
[790, 791]	[3707, 556]
[792, 793]	[3764, 538]
[794, 795]	[3770, 524]
[796, 797]	[3920, 526]
[798, 799]	[3760, 535]
[800, 801]	[3684, 554]
[802, 803]	[3633, 558]
[804, 805]	[3795, 564]
[806, 807]	[3710, 567]
[808, 809]	[3487, 536]
[810, 811]	[3562, 506]
[812, 813]	[3504, 538]
[814, 815]	[3654, 525]
[816, 817]	[3670, 554]
[818, 819]	[3683, 564]
[820, 821]	[3652, 558]
[822, 823]	[3704, 543]
[824, 825]	[3543, 555]
[826, 827]	[3673, 532]
[828, 829]	[3633, 564]
[830, 831]	[3763, 549]
[832, 833]	[3590, 523]
[834, 835]	[3782, 515]
[836, 837]	[3699, 560]
[838, 839]	[3706, 506]
[840, 841]	[3704, 517]
[842, 843]	[3810, 537]
[844, 845]	[3647, 506]
[846, 847]	[3813, 541]
[848, 849]	[4018, 533]
[850, 851]	[4082, 524]
[852, 853]	[4075, 498]
[854, 855]	[4143, 488]
[856, 857]	[3684, 530]
[858, 859]	[3965, 547]
[860, 861]	[3873, 474]
[862, 863]	[4130, 529]
[864, 865]	[3661, 532]
[866, 867]	[3714, 552]
[868, 869]	[3783, 559]
[870, 871]	[3748, 557]
[872, 873]	[3488, 562]
[874, 875]	[3764, 556]
[876, 877]	[3693, 560]
[878, 879]	[3869, 565]
[880, 881]	[3898, 550]
[882, 883]	[3730, 544]
[884, 885]	[3910, 524]
[886, 887]	[3888, 538]
[888, 889]	[3727, 540]
[890, 891]	[3752, 538]
[892, 893]	[3763, 519]
[894, 895]	[3870, 528]
[896, 897]	[3522, 509]
[898, 899]	[3619, 537]
[900, 901]	[3559, 521]
[902, 903]	[3751, 538]
[904, 905]	[3582, 543]
[906, 907]	[3760, 548]
[908, 909]	[3686, 552]
[910, 911]	[3683, 550]
[912, 913]	[3591, 530]
[914, 915]	[3627, 563]
[916, 917]	[3599, 548]
[918, 919]	[3747, 577]
[920, 921]	[3736, 566]
[922, 923]	[3708, 556]
[924, 925]	[3678, 573]
[926, 927]	[3777, 566]
[928, 929]	[3714, 552]
[930, 931]	[3727, 540]
[932, 933]	[3746, 558]
[934, 935]	[3824, 548]
[936, 937]	[3605, 530]
[938, 939]	[4403, 505]
[940, 941]	[3562, 525]
[942, 943]	[4082, 586]
[944, 945]	[3636, 569]
[946, 947]	[3682, 550]
[948, 949]	[3634, 541]
[950, 951]	[3703, 565]
[952, 953]	[3651, 464]
[954, 955]	[4093, 595]
[956, 957]	[3702, 585]
[958, 959]	[3975, 580]
[960, 961]	[3666, 580]
[962, 963]	[3715, 573]
[964, 965]	[3826, 588]
[966, 967]	[3733, 569]
[968, 969]	[3649, 574]
[970, 971]	[3587, 453]
[972, 973]	[3815, 577]
[974, 975]	[3612, 538]
[976, 977]	[3654, 575]
[978, 979]	[3775, 567]
[980, 981]	[3779, 509]
[982, 983]	[3616, 513]
[984, 985]	[3420, 507]
[986, 987]	[3400, 503]
[988, 989]	[3509, 490]
[990, 991]	[3524, 499]
[992, 993]	[4890, 570]
[994, 995]	[4675, 592]
[996, 997]	[4471, 586]
[998, 999]	[4432, 589]
