,station,id
21971,AYW00068701,0
21970,AYW00067601,0
19168,NZ000939870,0
19167,NZ000093994,0
22946,TN000091780,0
15385,FJ000091652,0
6,AQC00914873,0
10933,AQC00914397,0
3582,AQC00914869,0
10934,AQW00061705,0
18151,AQC00914021,0
10932,AQC00914188,0
28867,WF000917530,0
14510,AQC00914822,0
8475,TL000091724,0
4509,KRC00914101,0
11857,KRW00060703,0
15489,KRW00060702,0
26196,KR000091490,0
4510,KRW00020503,0
19098,LQW00020604,0
4539,LQC00914701,0
8177,JQW00021602,0
11853,JQW00021601,0
4504,JQW00021603,0
913,JQW00021604,0
3160,USR0000HHON,0
28447,USR0000HKAN,0
17714,USR0000HKLL,0
17621,USC00512558,0
28448,USR0000HLUA,0
28446,USR0000HHAI,0
6726,USC00515842,0
13976,USC00514193,0
24764,USC00513461,0
28352,USC00515275,0
6717,USC00514489,0
3058,USC00518060,0
28353,USC00515286,0
10766,USW00022525,0
24768,USC00514660,0
24853,USR0000HLAN,0
24771,USC00515177,0
13995,USC00519484,0
28359,USC00518407,0
10381,USC00512307,0
13973,USC00512317,0
17631,USC00515715,0
17624,USC00513317,0
17618,USC00511887,0
28343,USC00511914,0
10392,USC00516138,0
14084,USR0000HMLK,0
3052,USC00516190,0
3168,USR0000HWAI,0
3061,USC00518549,0
24769,USC00514778,0
17993,USW00022534,0
24762,USC00512905,0
10386,USC00514400,0
28345,USC00512896,0
3163,USR0000HMAK,0
10402,USC00519397,0
13981,USC00515675,0
17632,USC00516084,0
24781,USC00518815,0
17633,USC00516169,0
10375,USC00510800,0
6705,USC00512146,0
10387,USC00514617,0
21218,USC00518805,0
10393,USC00516141,0
10400,USC00518316,0
17614,USC00510248,0
13971,USC00511918,0
7074,USW00022551,0
10765,USW00022514,0
3043,USC00512983,0
21590,USW00022522,0
13984,USC00516137,0
28355,USC00515800,0
17644,USC00518806,0
6703,USC00510397,0
25127,USW00022521,0
6728,USC00516128,0
3063,USC00518736,0
7071,USW00022504,0
10403,USC00519526,0
13983,USC00516126,0
7072,USW00022515,0
10401,USC00518734,0
28344,USC00512225,0
21221,USC00519523,0
28357,USC00516933,0
6733,USC00517781,0
24758,USC00510202,0
28725,USW00022517,0
28361,USC00519521,0
24775,USC00516222,0
3054,USC00516228,0
24759,USC00510507,1
6711,USC00512960,1
