,station,id
21971,AYW00068701,512
21970,AYW00067601,512
19168,NZ000939870,512
19167,NZ000093994,512
22946,TN000091780,512
15385,FJ000091652,512
6,AQC00914873,512
10933,AQC00914397,512
3582,AQC00914869,512
10934,AQW00061705,512
18151,AQC00914021,512
10932,AQC00914188,512
28867,WF000917530,512
14510,AQC00914822,512
8475,TL000091724,512
4509,KRC00914101,512
11857,KRW00060703,512
15489,KRW00060702,512
26196,KR000091490,512
4510,KRW00020503,512
19098,LQW00020604,512
4539,LQC00914701,512
8177,JQW00021602,512
11853,JQW00021601,512
4504,JQW00021603,512
913,JQW00021604,512
3160,USR0000HHON,512
28447,USR0000HKAN,512
17714,USR0000HKLL,512
17621,USC00512558,512
28448,USR0000HLUA,512
28446,USR0000HHAI,512
6726,USC00515842,512
13976,USC00514193,512
24764,USC00513461,512
28352,USC00515275,512
6717,USC00514489,512
3058,USC00518060,512
28353,USC00515286,512
10766,USW00022525,512
24768,USC00514660,512
24853,USR0000HLAN,512
24771,USC00515177,512
13995,USC00519484,512
28359,USC00518407,512
10381,USC00512307,512
13973,USC00512317,512
17631,USC00515715,512
17624,USC00513317,512
17618,USC00511887,512
28343,USC00511914,512
10392,USC00516138,512
14084,USR0000HMLK,512
3052,USC00516190,512
3168,USR0000HWAI,512
3061,USC00518549,512
24769,USC00514778,512
17993,USW00022534,512
24762,USC00512905,512
10386,USC00514400,512
28345,USC00512896,512
3163,USR0000HMAK,512
10402,USC00519397,512
13981,USC00515675,512
17632,USC00516084,512
24781,USC00518815,512
17633,USC00516169,512
10375,USC00510800,512
6705,USC00512146,512
10387,USC00514617,512
21218,USC00518805,512
10393,USC00516141,512
10400,USC00518316,512
17614,USC00510248,512
13971,USC00511918,512
7074,USW00022551,512
10765,USW00022514,512
3043,USC00512983,512
21590,USW00022522,512
13984,USC00516137,512
28355,USC00515800,512
17644,USC00518806,512
6703,USC00510397,512
25127,USW00022521,512
6728,USC00516128,512
3063,USC00518736,512
7071,USW00022504,512
10403,USC00519526,512
13983,USC00516126,512
7072,USW00022515,512
10401,USC00518734,512
28344,USC00512225,512
21221,USC00519523,512
28357,USC00516933,512
6733,USC00517781,512
24758,USC00510202,512
28725,USW00022517,512
28361,USC00519521,512
24775,USC00516222,512
3054,USC00516228,512
24759,USC00510507,513
6711,USC00512960,513
21216,USC00518500,513
13974,USC00513123,513
24757,USC00510172,513
21193,USC00510115,513
28362,USC00519738,513
17640,USC00517948,513
10382,USC00513113,513
24773,USC00515647,513
24763,USC00513117,513
10372,USC00510055,513
13993,USC00519231,513
28342,USC00511370,513
28339,USC00510836,513
17615,USC00510350,513
21589,USW00022519,513
3065,USC00519281,513
24779,USC00518172,513
3051,USC00515766,513
21209,USC00515758,513
21314,USR0000HWVA,513
28354,USC00515781,513
21588,USW00022508,513
3166,USR0000HSCO,513
3064,USC00518945,513
21220,USC00518838,513
28450,USR0000HSCH,513
17646,USC00518905,513
3167,USR0000HSFB,513
17620,USC00512462,513
6722,USC00514830,513
14083,USR0000HMAP,513
6820,USR0000HMAR,513
10397,USC00518055,513
21312,USR0000HMRG,513
6707,USC00512410,513
21212,USC00517150,513
24783,USC00519195,513
10374,USC00510305,513
21203,USC00513734,513
3060,USC00518310,513
13975,USC00513208,513
17650,USC00519593,513
10404,USC00519603,513
10373,USC00510242,513
13967,USC00510340,513
13979,USC00515213,513
13990,USC00518340,513
6718,USC00514500,513
21310,USR0000HKAH,513
13992,USC00519190,513
17713,USR0000HKII,513
24761,USC00512570,513
13977,USC00514748,513
13982,USC00515785,513
10391,USC00514950,513
10405,USC00519955,513
17647,USC00518941,513
7073,USW00022526,513
6724,USC00515710,513
21194,USC00510456,513
21195,USC00510470,513
6720,USC00514742,513
6727,USC00515864,513
17613,USC00510240,513
24784,USC00519629,513
10399,USC00518217,513
17630,USC00515575,513
10767,USW00022536,513
13994,USC00519253,513
6716,USC00514272,513
24782,USC00518958,513
3050,USC00515560,513
24774,USC00516082,513
21210,USC00516850,513
17992,USW00022501,513
21207,USC00514735,513
10385,USC00513982,513
17636,USC00516433,513
21202,USC00513099,513
14082,USR0000HMAH,513
17637,USC00516529,513
21311,USR0000HMOL,513
6734,USC00518155,513
24767,USC00514561,513
10398,USC00518165,513
28346,USC00514568,513
10768,USW00022602,513
21222,USC00914401,513
17635,USC00516271,513
950,MQW00022701,513
3441,USW00022703,513
19106,MQC00914490,513
11141,AYW00068201,514
224,AYW00067401,514
25471,AYW00067402,514
4430,FP000091958,514
19169,PC000919640,514
18991,FP000091954,514
831,FP000091948,514
26103,FP000091938,514
18989,FP000091929,514
18990,FP000091943,514
4429,FP000091925,514
22646,KRW00060502,514
28363,USC00914278,514
13985,USC00516588,514
10388,USC00514620,514
21205,USC00514625,514
3045,USC00513423,514
6735,USC00518650,514
28360,USC00518652,514
21198,USC00511460,514
21200,USC00512249,514
17642,USC00518600,514
24778,USC00517421,514
6732,USC00517437,514
17619,USC00512121,514
3057,USC00517166,514
10383,USC00513146,514
17715,USR0000HPAL,514
6710,USC00512894,514
10390,USC00514763,514
28337,USC00510344,514
3062,USC00518552,514
21197,USC00511303,514
6714,USC00513455,514
17638,USC00516697,514
10487,USR0000HKMO,514
3162,USR0000HKEA,514
28338,USC00510740,514
17626,USC00513977,514
17627,USC00513980,514
6713,USC00513370,514
3044,USC00513368,514
13988,USC00517457,514
6702,USC00510298,514
6712,USC00513367,514
6704,USC00510746,514
6730,USC00516560,514
6729,USC00516546,514
6709,USC00512751,514
7069,USW00021514,514
3053,USC00516198,514
24776,USC00516552,514
28351,USC00515011,514
3049,USC00515018,514
17629,USC00515102,514
21211,USC00517026,514
10384,USC00513872,514
3056,USC00517023,514
17617,USC00511557,514
3439,USW00021515,514
6721,USC00514764,514
3040,USC00511270,514
3165,USR0000HPTK,514
6715,USC00513510,514
10488,USR0000HPTA,514
3041,USC00511487,514
6706,USC00512182,514
7068,USW00021503,514
3438,USW00021504,514
17625,USC00513911,514
6719,USC00514632,514
13970,USC00511484,514
21586,USW00021510,514
14085,USR0000HPTP,514
21215,USC00518063,514
10380,USC00512156,514
17991,USW00021508,514
17716,USR0000HPTW,514
21217,USC00518555,514
21313,USR0000HPUW,514
17634,USC00516183,514
21309,USR0000HHAK,514
3047,USC00514765,514
10396,USC00518000,514
3042,USC00511960,514
24777,USC00516725,514
10379,USC00511955,514
17616,USC00510905,514
17648,USC00519142,514
24766,USC00514459,514
13991,USC00518780,514
13989,USC00518186,514
24772,USC00515427,514
17623,USC00513078,514
13980,USC00515260,514
28356,USC00516180,514
21201,USC00513077,514
10395,USC00517131,514
24780,USC00518422,514
17649,USC00519557,514
21214,USC00517312,514
13987,USC00517204,514
10378,USC00511856,514
24760,USC00510840,515
28349,USC00514928,515
3048,USC00514938,515
6725,USC00515721,515
10389,USC00514675,515
3046,USC00514680,515
3059,USC00518181,515
28348,USC00514670,515
10394,USC00516806,515
10377,USC00511339,515
21219,USC00518830,515
21206,USC00514683,515
17645,USC00518828,515
6736,USC00518760,515
28347,USC00514634,515
6731,USC00517000,515
3161,USR0000HKAU,515
6723,USC00515006,515
13978,USC00515004,515
17628,USC00514725,515
13969,USC00511008,515
3039,USC00510992,515
10376,USC00511122,515
28350,USC00515000,515
28340,USC00511004,515
24770,USC00515009,515
17643,USC00518743,515
3055,USC00516594,515
13986,USC00516591,515
13972,USC00511921,515
28341,USC00511125,515
21208,USC00514771,515
21213,USC00517194,515
17641,USC00518336,515
24765,USC00514091,515
6708,USC00512630,515
21196,USC00510995,515
21199,USC00511930,515
21204,USC00513910,515
17622,USC00512679,515
17639,USC00517566,515
3440,USW00022516,515
13968,USC00510832,515
28358,USC00517857,515
953,MX000003012,515
26243,MX000003068,515
26242,MX000003035,515
8225,MX000003029,515
22695,MX000003061,515
19110,MX000003073,515
15537,MX000002015,515
11901,MX000002041,515
26256,MX000026179,515
11916,MX000026032,515
8224,MX000002006,515
4551,MX000002043,515
19135,MX000026074,515
4550,MX000002032,516
4552,MX000002065,516
19109,MX000002072,516
11917,MX000026076,516
19108,MX000002069,516
11900,MX000002038,516
26241,MX000002034,516
28805,USW00093115,516
14282,USW00003178,516
12251,USC00028070,516
21600,USW00023196,516
21290,USR0000CPOT,516
8589,USC00029652,516
25049,USW00003164,516
4962,USC00041758,516
14279,USW00003145,516
15933,USC00041252,516
26620,USC00040968,516
25138,USW00023195,516
12330,USC00045840,516
8618,USC00040514,516
14064,USR0000CSMI,516
4957,USC00041288,516
10860,USW00093112,516
19559,USC00047738,516
19472,USC00029657,516
4926,USC00029653,516
14028,USR0000CCAM,516
23052,USC00029656,516
10863,USW00093145,516
10786,USW00023188,516
3114,USR0000CBUU,516
12306,USC00042713,516
19560,USC00047741,516
19521,USC00044735,516
1374,USC00042705,516
26640,USC00042706,516
25048,USW00003131,516
8640,USC00043410,516
10788,USW00023199,516
3522,USW00093103,516
21253,USR0000CALP,516
17909,USW00003144,516
23085,USC00040136,517
12316,USC00044223,517
1350,USC00040134,517
8628,USC00042406,517
3119,USR0000CDES,517
7084,USW00023178,517
26656,USC00044711,517
18072,USW00093107,517
15975,USC00045968,517
3130,USR0000CLAG,517
1382,USC00043489,517
23021,USC00024299,517
15942,USC00042709,517
14066,USR0000CSQU,517
3140,USR0000CPIC,517
26621,USC00041048,517
26653,USC00044227,517
23103,USC00042350,517
28397,USR0000CCAA,517
15938,USC00042239,517
10445,USR0000CFIS,517
5013,USC00047228,517
6794,USR0000CPHI,517
1414,USC00047111,517
12345,USC00047248,517
21672,USW00093117,517
7126,USW00053120,517
1381,USC00043434,517
12344,USC00047226,517
5014,USC00047231,517
14038,USR0000CGOO,517
6785,USR0000CJUL,517
4983,USC00044412,517
15994,USC00047874,517
8632,USC00042871,517
12318,USC00044418,517
1376,USC00042862,517
26643,USC00042863,517
17911,USW00003177,517
8659,USC00046383,517
26679,USC00046386,517
23165,USC00049379,517
18074,USW00093118,517
19540,USC00046377,517
3493,USW00053121,517
14057,USR0000CRCH,517
26700,USC00049378,517
23092,USC00040983,517
7085,USW00023181,517
8686,USC00049232,517
6811,USR0000CVAL,517
4981,USC00043914,517
1433,USC00049377,517
25208,USW00093116,517
1402,USC00046198,517
5001,USC00046197,517
12286,USC00040986,517
16011,USC00049447,517
14046,USR0000CLSF,517
21510,USW00003154,517
12280,USC00040395,517
1384,USC00043690,517
1377,USC00042958,517
21298,USR0000CTAR,517
1410,USC00046657,517
6761,USR0000CAMM,517
4901,USC00025921,518
23039,USC00027555,518
28643,USW00003196,518
23028,USC00025924,518
19463,USC00027619,518
15884,USC00027326,518
19436,USC00021231,518
19470,USC00028865,518
8580,USC00027625,518
4874,USC00020380,518
3494,USW00053132,518
21234,USR0000AHPK,518
12249,USC00027990,518
14017,USR0000ASAS,518
10826,USW00053006,518
4889,USC00022797,518
15887,USC00027593,518
3075,USR0000AEMP,518
1300,USC00026233,518
19447,USC00023981,518
26559,USC00023668,518
28382,USR0000ASES,518
1310,USC00027726,518
1295,USC00023975,518
21645,USW00053168,518
8563,USC00023973,518
8574,USC00026132,518
15872,USC00024675,518
15885,USC00027403,518
12208,USC00020287,518
15893,USC00028569,518
26573,USC00026630,518
3449,USW00023160,518
26552,USC00022216,518
7080,USW00023109,518
4910,USC00027398,518
6752,USR0000ARIN,518
12254,USC00029109,518
1320,USC00028815,518
7127,USW00053131,518
15847,USC00020415,518
26586,USC00028805,518
15896,USC00028800,518
4916,USC00028795,518
23046,USC00028817,518
1319,USC00028796,518
8550,USC00022480,518
1308,USC00027355,518
19462,USC00027600,518
28380,USR0000ASAG,518
4887,USC00022159,518
1316,USC00028590,518
15843,USC00020080,518
23042,USC00027915,518
3099,USR0000ASOL,518
23031,USC00026202,518
8571,USC00025733,518
1283,USC00021357,518
17651,USR0000ACAR,518
1299,USC00025735,518
12231,USC00025732,518
4900,USC00025734,518
15844,USC00020088,518
1305,USC00027058,518
23043,USC00027984,518
15877,USC00026116,518
4913,USC00027530,518
4902,USC00026119,519
12233,USC00026117,519
12236,USC00026513,519
12256,USC00029211,519
1324,USC00029382,519
26588,USC00029215,519
15892,USC00028396,519
15846,USC00020404,519
23026,USC00025627,519
26553,USC00022807,519
19440,USC00022430,519
12241,USC00027187,519
3495,USW00053154,519
6990,USW00003125,519
1311,USC00027751,519
12252,USC00028177,519
15855,USC00021306,519
8567,USC00025274,519
12258,USC00029420,519
21233,USR0000AHOR,519
8556,USC00023393,519
21231,USR0000AHAL,519
3450,USW00023168,519
3497,USW00053176,519
21223,USR0000ABAR,519
4888,USC00022434,519
14418,USW00053162,519
26547,USC00021314,519
8552,USC00023027,519
26574,USC00027370,519
23030,USC00026194,519
12230,USC00025633,519
23024,USC00025270,519
26576,USC00027480,519
1312,USC00028268,519
19439,USC00021514,519
26564,USC00024702,519
25133,USW00023104,519
1284,USC00021511,519
19467,USC00028351,519
19466,USC00028348,519
15891,USC00028349,519
15882,USC00026479,519
4896,USC00024829,519
25178,USW00053156,519
24790,USR0000AGLO,519
1313,USC00028356,519
28381,USR0000ASCA,519
4879,USC00021026,519
19445,USC00023505,519
8582,USC00028112,519
4917,USC00029015,519
26575,USC00027477,519
26083,CI000085469,520
15549,MX000014096,520
967,MX000014081,520
22709,MX000018029,520
19125,MX000018019,520
15538,MX000003005,520
22728,MX000076458,520
4553,MX000003066,520
15539,MX000003030,520
8235,MX000010025,520
15548,MX000010023,520
15540,MX000003074,520
978,MX000025081,520
22703,MX000010018,520
11907,MX000010060,520
4574,MX000025110,520
15553,MX000025063,520
26254,MX000025046,520
22704,MX000010029,520
8234,MX000008172,520
977,MX000025023,520
8245,MX000025007,520
11914,MX000025017,520
15545,MX000008071,520
8233,MX000008161,520
15555,MX000026053,520
26247,MX000008029,520
26255,MX000026102,520
22720,MX000026183,520
15556,MX000026075,520
4560,MX000008085,520
19117,MX000008108,520
4559,MX000008038,520
22700,MX000008044,520
11904,MX000008102,520
958,MX000008028,520
19116,MX000008092,521
979,MX000026101,521
8231,MX000008004,521
11905,MX000008157,521
26248,MX000008142,521
19134,MX000026049,521
15554,MX000026031,521
8246,MX000026077,521
960,MX000008097,521
11915,MX000026029,521
4575,MX000026067,521
8232,MX000008103,521
26246,MX000008010,521
24425,USC00417813,521
22701,MX000008066,521
6288,USC00411416,521
4561,MX000008184,521
10034,USC00419275,521
19118,MX000008155,521
17280,USC00419295,521
6360,USC00418305,521
9960,USC00413266,521
27469,USC00290426,521
15866,USC00022659,521
4886,USC00022140,521
19441,USC00022669,521
22702,MX000008121,521
26550,USC00022139,521
4894,USC00023996,521
19443,USC00023071,521
10032,USC00419088,521
4878,USC00020773,521
12213,USC00020768,521
21227,USR0000ACAA,521
26545,USC00020775,521
15898,USC00029562,521
3518,USW00093026,521
2180,USC00292757,521
17217,USC00413033,521
20371,USC00293690,521
12247,USC00027880,521
10676,USW00003124,521
23025,USC00025418,521
21643,USW00053146,521
13604,USC00418435,521
6374,USC00419966,521
23045,USC00028619,521
4873,USC00020300,521
12217,USC00022902,521
6356,USC00417920,521
28730,USW00023059,521
3098,USR0000ARUC,521
9949,USC00412012,521
8238,MX000012052,522
990,MX000076654,522
969,MX000016094,522
19123,MX000016031,522
8239,MX000016144,522
22708,MX000016030,522
19121,MX000014040,522
19124,MX000016141,522
15550,MX000016065,522
19119,MX000011001,522
11910,MX000014017,522
11908,MX000011036,522
4567,MX000014121,522
4566,MX000014066,522
19122,MX000014147,522
11911,MX000014039,522
8237,MX000011095,522
15559,MX000032067,522
19137,MX000032019,522
22727,MX000032032,522
4549,MX000001053,522
952,MX000001018,522
15536,MX000001014,522
986,MX000032016,522
987,MX000032030,522
22726,MX000032018,522
985,MX000032005,522
961,MX000010027,522
15547,MX000010012,522
962,MX000010049,522
4562,MX000010004,522
4557,MX000005024,522
8236,MX000010072,522
15546,MX000010009,522
15541,MX000005007,522
11906,MX000008171,522
11903,MX000005044,522
955,MX000005050,522
24390,USC00414609,522
13547,USC00411524,522
2686,USC00417624,522
20798,USC00410950,522
28522,USR0000TCHI,522
6324,USC00414950,522
27904,USC00411715,522
13581,USC00415674,522
24943,USR0000TPAN,522
27958,USC00416792,523
27970,USC00418714,523
21587,USW00022016,523
24437,USC00418924,523
17196,USC00410764,523
6314,USC00414051,523
9984,USC00414968,523
17276,USC00418926,523
13535,USC00410600,523
2681,USC00417264,523
959,MX000008031,523
10007,USC00417262,523
24434,USC00418715,523
17257,USC00416960,523
10002,USC00416959,523
6326,USC00415049,523
9987,USC00415048,523
17253,USC00416737,523
25042,USW00003032,523
27916,USC00412590,523
6357,USC00418022,523
27946,USC00415579,523
17211,USC00412593,523
2677,USC00416780,523
2667,USC00415589,523
17246,USC00415596,523
6276,USC00410176,523
13527,USC00410174,523
27950,USC00415854,523
27974,USC00419270,523
24374,USC00413262,523
10022,USC00418252,523
9996,USC00416104,523
9961,USC00413277,523
13533,USC00410482,523
9962,USC00413280,523
14377,USW00023091,523
24355,USC00410498,523
20834,USC00414770,523
20833,USC00414767,523
2669,USC00415707,523
24422,USC00417431,523
24378,USC00413680,523
20852,USC00416893,523
6295,USC00412082,523
24418,USC00416892,523
27895,USC00410538,523
20845,USC00415999,523
27951,USC00416000,523
10670,USW00003047,523
24405,USC00415888,523
27938,USC00414710,523
27906,USC00412084,523
2671,USC00415828,523
27959,USC00416932,523
28727,USW00023040,523
16779,USC00296191,524
3445,USW00023058,524
2220,USC00297534,524
8565,USC00024534,524
27498,USC00293946,524
23038,USC00027445,524
12212,USC00020683,524
15878,USC00026358,524
23035,USC00026716,524
12234,USC00026186,524
21642,USW00053025,524
1280,USC00020309,524
19457,USC00026706,524
20373,USC00293775,524
10773,USW00023045,524
8576,USC00026242,524
4906,USC00026353,524
20344,USC00290417,524
16784,USC00297060,524
1287,USC00021874,524
9524,USC00294782,524
23006,USC00020680,524
13999,USR0000ACHR,524
4884,USC00021664,524
3346,USW00003085,524
15860,USC00021870,524
13077,USC00290125,524
8553,USC00023096,524
19461,USC00027567,524
15865,USC00022648,524
20365,USC00293368,524
27483,USC00292442,524
9510,USC00292436,524
4924,USC00029334,524
10777,USW00023078,524
15886,USC00027560,524
2228,USC00298535,524
26544,USC00020690,524
16772,USC00294799,524
9525,USC00295079,524
19437,USC00021330,524
1282,USC00020958,524
4914,USC00027563,524
17656,USR0000AMUL,524
20363,USC00293225,524
9549,USC00299691,524
16750,USC00291279,524
26555,USC00023110,524
27491,USC00293157,524
28803,USW00093063,525
27521,USC00299199,525
10419,USR0000ANOO,525
9520,USC00293855,525
3072,USR0000ACOL,525
27514,USC00297340,525
1290,USC00022754,525
9517,USC00293448,525
9543,USC00298324,525
5828,USC00293265,525
13115,USC00298095,525
5854,USC00298325,525
4909,USC00027390,525
1309,USC00027388,525
12237,USC00026546,525
20367,USC00293533,525
2173,USC00291910,525
3521,USW00093084,525
25181,USW00053181,525
23936,USC00296854,525
10413,USR0000AGUT,525
2171,USC00291286,525
2196,USC00294506,525
3284,USS0008T01S,525
9521,USC00294009,525
13078,USC00290268,525
23931,USC00295754,525
23911,USC00291901,525
2192,USC00293615,525
10594,USS0007S03S,525
12218,USC00023150,525
27495,USC00293528,525
23015,USC00023144,525
1286,USC00021849,525
6739,USR0000ABLA,525
5859,USC00299128,525
20362,USC00292848,525
2194,USC00294146,525
20374,USC00293951,525
27489,USC00292945,525
2190,USC00293530,525
26558,USC00023635,525
7076,USW00023046,525
14443,USW00093045,525
12219,USC00023697,525
8560,USC00023698,525
21246,USR0000ATRA,525
27496,USC00293575,525
20368,USC00293577,525
8555,USC00023258,525
9551,USC00299806,525
4912,USC00027475,525
10409,USR0000ADRL,525
14206,USS0007S04S,525
24975,USS0008S08S,525
2689,USC00417921,526
14376,USW00023080,526
14373,USW00023044,526
9955,USC00412793,526
14374,USW00023055,526
14372,USW00023019,526
6305,USC00412794,526
2661,USC00414775,526
5852,USC00298127,526
6299,USC00412354,526
2674,USC00416502,526
2678,USC00417044,526
24944,USR0000TPIN,526
13595,USC00417481,526
28639,USW00003031,526
3248,USR0000TGUA,526
10771,USW00023023,526
24396,USC00414931,526
9953,USC00412485,526
14176,USR0000TMID,526
16778,USC00296119,526
16780,USC00296430,526
24406,USC00415891,526
5824,USC00291807,526
9503,USC00291721,526
27941,USC00415120,526
16753,USC00291532,526
23923,USC00294346,526
9531,USC00296281,526
16752,USC00291480,526
9537,USC00297172,526
25128,USW00023005,526
27482,USC00292365,526
2165,USC00290131,526
17191,USC00410250,526
9518,USC00293624,526
13082,USC00291140,526
18070,USW00093033,526
5823,USC00291469,526
13529,USC00410248,526
2233,USC00299569,526
27510,USC00296435,526
21592,USW00023039,526
5835,USC00294736,526
2215,USC00297028,526
18043,USW00053026,526
5821,USC00291153,526
13087,USC00292677,526
2234,USC00299660,526
17256,USC00416836,526
23930,USC00295710,526
23913,USC00293015,526
5836,USC00294747,526
3345,USW00003074,526
13098,USC00294426,526
13100,USC00294770,526
